"Date","DISVX"
"1997-07-22",10295.87
"1997-07-23",10285.38
"1997-07-24",10264.39
"1997-07-25",10243.4
"1997-07-28",10180.42
"1997-07-29",10180.42
"1997-07-30",10138.44
"1997-07-31",10127.95
"1997-08-01",10054.48
"1997-08-04",9981.01
"1997-08-05",9897.05
"1997-08-06",9897.05
"1997-08-07",9865.56
"1997-08-08",9918.04
"1997-08-11",9865.56
"1997-08-12",9855.07
"1997-08-13",9907.55
"1997-08-14",9865.56
"1997-08-15",9939.03
"1997-08-18",9834.08
"1997-08-19",9802.59
"1997-08-20",9834.08
"1997-08-21",9876.06
"1997-08-22",9907.55
"1997-08-25",9876.06
"1997-08-26",9907.55
"1997-08-27",9844.57
"1997-08-28",9792.1
"1997-08-29",9666.15
"1997-09-02",9487.73
"1997-09-03",9603.18
"1997-09-04",9582.19
"1997-09-05",9645.16
"1997-09-08",9687.15
"1997-09-09",9771.11
"1997-09-10",9760.61
"1997-09-11",9708.14
"1997-09-12",9687.15
"1997-09-15",9729.13
"1997-09-16",9666.15
"1997-09-17",9634.67
"1997-09-18",9603.18
"1997-09-19",9592.69
"1997-09-22",9529.72
"1997-09-23",9550.71
"1997-09-24",9624.17
"1997-09-25",9634.67
"1997-09-26",9550.71
"1997-09-29",9498.23
"1997-09-30",9487.73
"1997-10-01",9414.27
"1997-10-02",9372.29
"1997-10-03",9393.28
"1997-10-06",9424.76
"1997-10-07",9445.75
"1997-10-08",9487.73
"1997-10-09",9424.76
"1997-10-10",9435.26
"1997-10-13",9382.78
"1997-10-14",9361.79
"1997-10-15",9340.8
"1997-10-16",9414.27
"1997-10-17",9340.8
"1997-10-20",9298.82
"1997-10-21",9288.32
"1997-10-22",9298.82
"1997-10-23",9151.89
"1997-10-24",9183.37
"1997-10-27",9099.41
"1997-10-28",8774.06
"1997-10-29",9057.43
"1997-10-30",9004.95
"1997-10-31",9109.9
"1997-11-03",9183.37
"1997-11-04",9183.37
"1997-11-05",9130.9
"1997-11-06",9088.91
"1997-11-07",8983.96
"1997-11-10",8920.99
"1997-11-11",8920.99
"1997-11-12",8784.55
"1997-11-13",8753.07
"1997-11-14",8700.59
"1997-11-17",8805.54
"1997-11-18",8795.05
"1997-11-19",8616.63
"1997-11-20",8595.64
"1997-11-21",8637.62
"1997-11-24",8595.64
"1997-11-25",8375.23
"1997-11-26",8291.27
"1997-11-28",8343.75
"1997-12-01",8343.75
"1997-12-02",8364.74
"1997-12-03",8343.75
"1997-12-04",8322.76
"1997-12-05",8270.28
"1997-12-08",8259.79
"1997-12-09",8249.29
"1997-12-10",8270.28
"1997-12-11",8165.33
"1997-12-12",8133.84
"1997-12-15",8081.37
"1997-12-16",8028.89
"1997-12-17",8165.33
"1997-12-18",8133.84
"1997-12-19",7997.4
"1997-12-22",7836.83
"1997-12-23",7870.08
"1997-12-24",7836.83
"1997-12-26",7859
"1997-12-29",7859
"1997-12-30",7892.25
"1997-12-31",7892.25
"1998-01-02",7870.08
"1998-01-05",7836.83
"1998-01-06",7781.4
"1998-01-07",7748.15
"1998-01-08",7703.81
"1998-01-09",7692.73
"1998-01-12",7537.54
"1998-01-13",7615.13
"1998-01-14",7692.73
"1998-01-15",7670.56
"1998-01-16",7847.91
"1998-01-20",7980.93
"1998-01-21",8102.86
"1998-01-22",8147.2
"1998-01-23",8313.47
"1998-01-26",8501.9
"1998-01-27",8590.58
"1998-01-28",8712.51
"1998-01-29",8579.5
"1998-01-30",8457.57
"1998-02-02",8512.99
"1998-02-03",8646
"1998-02-04",8756.85
"1998-02-05",8945.29
"1998-02-06",9045.05
"1998-02-09",9089.39
"1998-02-10",9233.49
"1998-02-11",9255.66
"1998-02-12",9255.66
"1998-02-13",9089.39
"1998-02-17",8989.63
"1998-02-18",9033.97
"1998-02-19",9033.97
"1998-02-20",8989.63
"1998-02-23",9045.05
"1998-02-24",9056.14
"1998-02-25",9033.97
"1998-02-26",9155.9
"1998-02-27",9300
"1998-03-02",9455.18
"1998-03-03",9421.93
"1998-03-04",9344.34
"1998-03-05",9189.15
"1998-03-06",9233.49
"1998-03-09",9244.57
"1998-03-10",9300
"1998-03-11",9288.91
"1998-03-12",9333.25
"1998-03-13",9543.86
"1998-03-16",9499.52
"1998-03-17",9543.86
"1998-03-18",9477.35
"1998-03-19",9521.69
"1998-03-20",9543.86
"1998-03-23",9588.2
"1998-03-24",9554.94
"1998-03-25",9643.62
"1998-03-26",9699.04
"1998-03-27",9687.96
"1998-03-30",9554.94
"1998-03-31",9488.44
"1998-04-01",9366.5
"1998-04-02",9189.15
"1998-04-03",9155.9
"1998-04-06",9244.57
"1998-04-07",9322.17
"1998-04-08",9388.67
"1998-04-09",9510.6
"1998-04-13",9477.35
"1998-04-14",9543.86
"1998-04-15",9554.94
"1998-04-16",9421.93
"1998-04-17",9421.93
"1998-04-20",9444.1
"1998-04-21",9488.44
"1998-04-22",9488.44
"1998-04-23",9444.1
"1998-04-24",9444.1
"1998-04-27",9277.83
"1998-04-28",9233.49
"1998-04-29",9266.74
"1998-04-30",9322.17
"1998-05-01",9333.25
"1998-05-04",9377.59
"1998-05-05",9388.67
"1998-05-06",9322.17
"1998-05-07",9288.91
"1998-05-08",9300
"1998-05-11",9322.17
"1998-05-12",9311.08
"1998-05-13",9266.74
"1998-05-14",9266.74
"1998-05-15",9266.74
"1998-05-18",9155.9
"1998-05-19",9200.24
"1998-05-20",9288.91
"1998-05-21",9410.84
"1998-05-22",9399.76
"1998-05-26",9355.42
"1998-05-27",9222.4
"1998-05-28",9222.4
"1998-05-29",9233.49
"1998-06-01",9166.98
"1998-06-02",9189.15
"1998-06-03",9233.49
"1998-06-04",9244.57
"1998-06-05",9200.24
"1998-06-08",9178.07
"1998-06-09",9155.9
"1998-06-10",9045.05
"1998-06-11",8967.46
"1998-06-12",8889.87
"1998-06-15",8734.68
"1998-06-16",8779.02
"1998-06-17",8989.63
"1998-06-18",9100.47
"1998-06-19",9155.9
"1998-06-22",9000.71
"1998-06-23",8923.12
"1998-06-24",8878.78
"1998-06-25",8889.87
"1998-06-26",8790.1
"1998-06-29",8823.36
"1998-06-30",8967.46
"1998-07-01",9022.88
"1998-07-02",9000.71
"1998-07-06",9067.22
"1998-07-07",9089.39
"1998-07-08",9033.97
"1998-07-09",8934.2
"1998-07-10",8889.87
"1998-07-13",8934.2
"1998-07-14",9000.71
"1998-07-15",8989.63
"1998-07-16",9045.05
"1998-07-17",9067.22
"1998-07-20",9111.56
"1998-07-21",9056.14
"1998-07-22",8945.29
"1998-07-23",8889.87
"1998-07-24",8912.04
"1998-07-27",8790.1
"1998-07-28",8801.19
"1998-07-29",8723.6
"1998-07-30",8723.6
"1998-07-31",8690.34
"1998-08-03",8568.41
"1998-08-04",8568.41
"1998-08-05",8512.99
"1998-08-06",8479.73
"1998-08-07",8435.4
"1998-08-10",8324.55
"1998-08-11",8169.37
"1998-08-12",8169.37
"1998-08-13",8125.03
"1998-08-14",8113.94
"1998-08-17",8025.27
"1998-08-18",8069.6
"1998-08-19",8147.2
"1998-08-20",8158.28
"1998-08-21",8036.35
"1998-08-24",7992.01
"1998-08-25",7992.01
"1998-08-26",7870.08
"1998-08-27",7748.15
"1998-08-28",7648.39
"1998-08-31",7737.07
"1998-09-01",7714.9
"1998-09-02",7781.4
"1998-09-03",7814.66
"1998-09-04",7803.57
"1998-09-08",7936.59
"1998-09-09",7870.08
"1998-09-10",7892.25
"1998-09-11",7847.91
"1998-09-14",7847.91
"1998-09-15",7881.17
"1998-09-16",7859
"1998-09-17",7825.74
"1998-09-18",7770.32
"1998-09-21",7615.13
"1998-09-22",7604.05
"1998-09-23",7604.05
"1998-09-24",7681.64
"1998-09-25",7637.3
"1998-09-28",7626.22
"1998-09-29",7626.22
"1998-09-30",7537.54
"1998-10-01",7415.61
"1998-10-02",7349.1
"1998-10-05",7271.51
"1998-10-06",7282.6
"1998-10-07",7581.88
"1998-10-08",7570.8
"1998-10-09",7559.71
"1998-10-12",7626.22
"1998-10-13",7581.88
"1998-10-14",7604.05
"1998-10-15",7692.73
"1998-10-16",7836.83
"1998-10-19",7903.33
"1998-10-20",7914.42
"1998-10-21",7958.76
"1998-10-22",7980.93
"1998-10-23",7947.67
"1998-10-26",7925.5
"1998-10-27",7903.33
"1998-10-28",7903.33
"1998-10-29",7947.67
"1998-10-30",8003.1
"1998-11-02",8169.37
"1998-11-03",8147.2
"1998-11-04",8224.79
"1998-11-05",8246.96
"1998-11-06",8224.79
"1998-11-09",8091.77
"1998-11-10",8014.18
"1998-11-11",8102.86
"1998-11-12",7980.93
"1998-11-13",8036.35
"1998-11-16",8180.45
"1998-11-17",8125.03
"1998-11-18",8158.28
"1998-11-19",8213.7
"1998-11-20",8213.7
"1998-11-23",8202.62
"1998-11-24",8269.13
"1998-11-25",8269.13
"1998-11-27",8335.63
"1998-11-30",8357.8
"1998-12-01",8280.21
"1998-12-02",8335.63
"1998-12-03",8302.38
"1998-12-04",8291.3
"1998-12-07",8258.04
"1998-12-08",8246.96
"1998-12-09",8291.3
"1998-12-10",8324.55
"1998-12-11",8291.3
"1998-12-14",8246.96
"1998-12-15",8147.2
"1998-12-16",8147.2
"1998-12-17",8113.94
"1998-12-18",8136.11
"1998-12-21",8123.03
"1998-12-22",8088.32
"1998-12-23",8146.17
"1998-12-24",8123.03
"1998-12-28",8169.32
"1998-12-29",8227.17
"1998-12-30",8273.46
"1998-12-31",8308.17
"1999-01-04",8331.31
"1999-01-05",8331.31
"1999-01-06",8377.6
"1999-01-07",8389.17
"1999-01-08",8354.46
"1999-01-11",8412.31
"1999-01-12",8319.74
"1999-01-13",8215.6
"1999-01-14",8250.32
"1999-01-15",8204.03
"1999-01-19",8250.32
"1999-01-20",8238.74
"1999-01-21",8238.74
"1999-01-22",8169.32
"1999-01-25",8157.75
"1999-01-26",8215.6
"1999-01-27",8180.89
"1999-01-28",8123.03
"1999-01-29",8134.6
"1999-02-01",8157.75
"1999-02-02",8227.17
"1999-02-03",8180.89
"1999-02-04",8204.03
"1999-02-05",8169.32
"1999-02-08",8134.6
"1999-02-09",8111.46
"1999-02-10",8076.75
"1999-02-11",8111.46
"1999-02-12",8146.17
"1999-02-16",8065.18
"1999-02-17",8065.18
"1999-02-18",8030.46
"1999-02-19",7984.18
"1999-02-22",8018.89
"1999-02-23",8007.32
"1999-02-24",7972.61
"1999-02-25",8042.03
"1999-02-26",8030.46
"1999-03-01",8007.32
"1999-03-02",7972.61
"1999-03-03",7972.61
"1999-03-04",7903.18
"1999-03-05",8042.03
"1999-03-08",8053.6
"1999-03-09",8111.46
"1999-03-10",8215.6
"1999-03-11",8215.6
"1999-03-12",8319.74
"1999-03-15",8342.89
"1999-03-16",8412.31
"1999-03-17",8447.03
"1999-03-18",8412.31
"1999-03-19",8504.88
"1999-03-22",8493.31
"1999-03-23",8481.74
"1999-03-24",8447.03
"1999-03-25",8481.74
"1999-03-26",8400.74
"1999-03-29",8400.74
"1999-03-30",8377.6
"1999-03-31",8504.88
"1999-04-01",8528.03
"1999-04-05",8516.46
"1999-04-06",8574.31
"1999-04-07",8632.17
"1999-04-08",8724.74
"1999-04-09",8759.45
"1999-04-12",8805.74
"1999-04-13",8875.16
"1999-04-14",8956.16
"1999-04-15",8967.73
"1999-04-16",9083.45
"1999-04-19",9129.73
"1999-04-20",9118.16
"1999-04-21",9048.73
"1999-04-22",9106.59
"1999-04-23",9187.59
"1999-04-26",9245.45
"1999-04-27",9257.02
"1999-04-28",9280.16
"1999-04-29",9303.3
"1999-04-30",9384.3
"1999-05-03",9395.87
"1999-05-04",9453.73
"1999-05-05",9511.58
"1999-05-06",9673.58
"1999-05-07",9650.44
"1999-05-10",9685.15
"1999-05-11",9650.44
"1999-05-12",9638.87
"1999-05-13",9592.58
"1999-05-14",9615.73
"1999-05-17",9476.87
"1999-05-18",9476.87
"1999-05-19",9384.3
"1999-05-20",9372.73
"1999-05-21",9361.16
"1999-05-24",9372.73
"1999-05-25",9372.73
